measurement,deployment_id,timestamp,sensors/Cond,sensors/DOpct,sensors/Sal,sensors/Temp,sensors/Turb,sensors/lat,sensors/lon,sensors/pH,
Ada,12,2022-04-16T01:45:00+00:00,537.5,194.1,0.33,14.22,10.57,41.12725,-73.80816667,9.26,
Ada,12,2022-04-16T02:00:00+00:00,533.4,194.6,0.33,14.25,11.44,41.12725,-73.80816667,9.27,
Ada,12,2022-04-16T02:15:00+00:00,528.6,194.9,0.33,14.03,10.92,41.12725,-73.80816667,9.26,
Ada,12,2022-04-16T02:30:00+00:00,531.5,196.1,0.33,14,12.84,41.12723333,-73.80816667,9.26,
Ada,12,2022-04-16T02:45:00+00:00,530.9,195.6,0.33,14.23,13.5,41.12723333,-73.80816667,9.26,
Ada,12,2022-04-16T03:00:00+00:00,527.6,197.1,0.33,13.84,11.01,41.12723333,-73.80816667,9.27,
Ada,12,2022-04-16T03:15:00+00:00,528.9,195,0.33,14.15,11.55,41.12725,-73.80816667,9.26,
Ada,12,2022-04-16T03:30:00+00:00,528.7,194.9,0.33,14.06,15.98,41.12726667,-73.80816667,9.25,
Ada,12,2022-04-16T03:45:00+00:00,529.7,195.4,0.33,14.18,13.58,41.12726667,-73.80816667,9.25,
Ada,12,2022-04-16T04:00:00+00:00,531.2,192.2,0.33,14.08,17.5,41.12726667,-73.80816667,9.25,
Ada,12,2022-04-16T04:15:00+00:00,529.7,195.4,0.33,14,12.36,41.12726667,-73.808,9.25,
Ada,12,2022-04-16T04:30:00+00:00,529.2,193.4,0.33,14.03,12.39,41.12726667,-73.808,9.24,
Ada,12,2022-04-16T04:45:00+00:00,531.6,195.9,0.33,13.93,10.95,41.12728333,-73.808,9.26,
Ada,12,2022-04-16T05:00:00+00:00,524.9,192.3,0.33,14,12.76,41.12726667,-73.808,9.25,
Ada,12,2022-04-16T05:15:00+00:00,526.4,195.8,0.33,13.9,11.84,41.12726667,-73.808,9.26,
Ada,12,2022-04-16T05:30:00+00:00,525.3,193.8,0.33,14.01,12.83,41.12725,-73.808,9.25,
Ada,12,2022-04-16T05:45:00+00:00,526.1,194.4,0.33,13.81,11.55,41.12725,-73.808,9.25,
Ada,12,2022-04-16T06:00:00+00:00,527.6,193.2,0.33,13.86,12.11,41.12723333,-73.80816667,9.25,
Ada,12,2022-04-16T06:15:00+00:00,530.3,193,0.33,13.98,12.01,41.12725,-73.80816667,9.24,
Ada,12,2022-04-16T06:30:00+00:00,528.9,195,0.33,13.9,14.07,41.12725,-73.80816667,9.26,
Ada,12,2022-04-16T06:45:00+00:00,527.6,194.7,0.33,13.74,12.28,41.12725,-73.80816667,9.25,
Ada,12,2022-04-16T07:00:00+00:00,527.6,185.3,0.33,13.9,13.16,41.12726667,-73.80816667,9.23,
Ada,12,2022-04-16T07:15:00+00:00,528.3,191.1,0.33,13.79,12.44,41.12725,-73.80816667,9.25,
Ada,12,2022-04-16T07:30:00+00:00,530.4,188.2,0.33,13.79,15.8,41.12725,-73.80816667,9.22,
Ada,12,2022-04-16T07:45:00+00:00,531.2,177.8,0.33,13.65,11.37,41.12725,-73.80816667,9.17,
Ada,12,2022-04-16T08:00:00+00:00,531.4,185.4,0.33,13.93,10.75,41.12723333,-73.80816667,9.15,
Ada,12,2022-04-16T08:15:00+00:00,535.1,183.4,0.33,13.82,12.18,41.12725,-73.80816667,9.19,
Ada,12,2022-04-16T08:30:00+00:00,530.5,187.3,0.33,13.77,13.05,41.12725,-73.80816667,9.2,
Ada,12,2022-04-16T08:45:00+00:00,527.2,181,0.33,13.78,14.6,41.12726667,-73.80816667,9.16,
Ada,12,2022-04-16T09:00:00+00:00,525.1,181.1,0.33,13.69,13.27,41.12726667,-73.80816667,9.06,
Ada,12,2022-04-16T09:15:00+00:00,530.5,178.9,0.33,13.76,10.63,41.12726667,-73.808,9.15,
Ada,12,2022-04-16T09:30:00+00:00,530.7,176.9,0.33,13.78,11.43,41.12726667,-73.80816667,9.13,
Ada,12,2022-04-16T09:45:00+00:00,533.2,179,0.33,13.72,12.39,41.12726667,-73.80816667,9.15,
Ada,12,2022-04-16T10:00:00+00:00,530.2,169.7,0.33,13.78,11.52,41.12726667,-73.80816667,9.1,
Ada,12,2022-04-16T10:15:00+00:00,533.7,178.3,0.33,13.66,11.34,41.12726667,-73.80816667,9.15,
Ada,12,2022-04-16T10:30:00+00:00,534.6,180.6,0.33,13.69,10.34,41.12726667,-73.80816667,9.18,
Ada,12,2022-04-16T10:45:00+00:00,534.6,181.7,0.33,13.73,10.75,41.12725,-73.808,9.16,
Ada,12,2022-04-16T11:00:00+00:00,536.7,174.9,0.34,13.75,10.98,41.12726667,-73.80816667,9.09,
Ada,12,2022-04-16T11:15:00+00:00,534.8,175.4,0.34,13.61,10.91,41.12726667,-73.80816667,9.07,
Ada,12,2022-04-16T11:30:00+00:00,543.6,176.5,0.34,13.69,10.8,41.12726667,-73.80816667,9.13,
Ada,12,2022-04-16T11:45:00+00:00,538.3,177,0.34,13.7,10.52,41.12725,-73.808,9.13,
Ada,12,2022-04-16T12:00:00+00:00,532.3,153.8,0.33,13.46,11.45,41.12725,-73.808,9.04,
Ada,12,2022-04-16T12:15:00+00:00,528.1,155.9,0.33,13.71,11.32,41.12725,-73.808,8.49,
Ada,12,2022-04-16T12:30:00+00:00,531.7,131,0.33,13.54,11.4,41.12725,-73.808,8.32,
Ada,12,2022-04-16T12:45:00+00:00,531.1,139.5,0.33,13.42,11.11,41.12726667,-73.808,8.42,
Ada,12,2022-04-16T13:00:00+00:00,529.5,127.7,0.33,13.45,11.93,41.12726667,-73.808,8.38,
Ada,12,2022-04-16T13:15:00+00:00,528.1,125.6,0.33,13.51,12.45,41.12726667,-73.80816667,8.26,
Ada,12,2022-04-16T13:30:00+00:00,546.8,150.9,0.34,13.45,10.03,41.12726667,-73.80816667,8.42,
Ada,12,2022-04-16T13:45:00+00:00,537.6,163,0.34,13.51,13.14,41.12726667,-73.80816667,8.65,
Ada,12,2022-04-16T14:00:00+00:00,537.7,158.4,0.34,13.48,11.95,41.12728333,-73.80816667,8.76,
Ada,12,2022-04-16T14:15:00+00:00,539,141.7,0.34,13.46,11.87,41.12728333,-73.80816667,8.58,
