measurement,deployment_id,timestamp,sensors/Cond,sensors/DOpct,sensors/Sal,sensors/Temp,sensors/Turb,sensors/pH,sensors/lat,sensors/lon,,,
Alan,13,2022-08-11T21:30:00+00:00,675.1,5.02,0.3,30.06,5.8,7.5,,,,,
Alan,13,2022-08-11T21:45:00+00:00,719.4,3.68,0.32,30.08,2.95,7.36,41.12733333,-73.8085,,,
Alan,13,2022-08-11T22:00:00+00:00,734.3,5.69,0.32,30.07,7.54,7.6,41.12731667,-73.8085,,,
Alan,13,2022-08-11T22:15:00+00:00,730.9,15.65,0.32,30,3.4,7.72,41.1273,-73.8085,,,
Alan,13,2022-08-11T22:30:00+00:00,728.7,11.12,0.32,29.91,2.72,7.88,41.12726667,-73.8085,,,
Alan,13,2022-08-11T22:45:00+00:00,729.7,4.5,0.32,29.8,2.03,7.99,41.12725,-73.8085,,,
Alan,13,2022-08-11T23:00:00+00:00,732.3,3.26,0.32,29.73,4.81,7.34,41.12726667,-73.8085,,,
Alan,13,2022-08-11T23:15:00+00:00,731,3.24,0.32,29.66,3.12,7.37,41.12726667,-73.8085,,,
Alan,13,2022-08-11T23:45:00+00:00,1111,38.81,0.53,26.95,302.9,6.73,41.12786667,-73.808,,,
Alan,13,2022-08-12T00:00:00+00:00,1112,3.98,0.53,26.48,304.9,6.67,41.12788333,-73.808,,,
Alan,13,2022-08-12T00:15:00+00:00,1121,3.3,0.54,26.43,99.5,6.67,41.12788333,-73.808,,,
Alan,13,2022-08-12T00:30:00+00:00,1117,3.26,0.54,26.37,181.1,6.68,41.12786667,-73.808,,,
Alan,13,2022-08-12T00:45:00+00:00,1112,3.24,0.53,26.33,91.2,6.67,41.12786667,-73.808,,,
Alan,13,2022-08-12T01:00:00+00:00,1120,3.24,0.54,26.3,64.08,6.67,41.12785,-73.808,,,
Alan,13,2022-08-12T01:15:00+00:00,1083,3.24,0.52,26.27,156,6.67,41.12786667,-73.808,,,
Alan,13,2022-08-12T01:30:00+00:00,1125,3.23,0.54,26.22,48.86,6.65,41.12786667,-73.808,,,
Alan,13,2022-08-12T01:45:00+00:00,1115,3.23,0.54,26.19,53.63,6.65,41.12788333,-73.808,,,
Alan,13,2022-08-12T02:00:00+00:00,1165,3.24,0.56,26.09,48.55,6.66,41.12786667,-73.808,,,
Alan,13,2022-08-12T02:15:00+00:00,1117,3.23,0.54,26.11,48.18,6.65,41.12785,-73.808,,,
Alan,13,2022-08-12T02:30:00+00:00,1042,3.23,0.5,26,43.51,6.65,41.12785,-73.808,,,
Alan,13,2022-08-12T02:45:00+00:00,1044,3.22,0.5,25.99,45.59,6.65,41.12786667,-73.808,,,
Alan,13,2022-08-12T03:00:00+00:00,1059,3.23,0.51,25.94,43.05,6.64,41.12785,-73.808,,,
Alan,13,2022-08-12T03:15:00+00:00,1071,3.22,0.52,25.93,33.48,6.63,41.12785,-73.808,,,
Alan,13,2022-08-12T03:30:00+00:00,1008,3.22,0.49,25.83,45.21,6.64,41.12785,-73.808,,,
Alan,13,2022-08-12T03:45:00+00:00,1014,3.21,0.49,25.87,42.9,6.63,41.12785,-73.808,,,
