measurement,timestamp,sensors/Cond,sensors/DOpct,sensors/Sal,sensors/Temp,sensors/Turb,sensors/pH
Ada,44667,540.24,178.42,0.34,13.87,14.2,9.08
Ada,44668,562.7,157.78,0.35,14.1,25.1,8.94
Ada,44669,564.62,138.76,0.36,12.75,11.65,8.7
Ada,44670,413.26,120.35,0.28,10.37,23.08,8.4
Ada,44671,317,108.96,0.22,9.36,34.32,8.12
Ada,44672,349.55,116.75,0.24,9.7,25.26,8.25
Ada,44673,395.04,129.39,0.26,10.79,27.98,8.46
Ada,44674,423.4,139.78,0.28,11.4,28.92,8.56
Ada,44675,471.84,156.94,0.31,12.28,30.57,8.84
Ada,44676,503.82,170.48,0.32,12.94,34.02,9.04
Ada,44677,514.29,169.54,0.33,12.86,34.6,9.09
Ada,44678,533.83,157.1,0.34,13.25,27.61,9.08
Ada,44679,565.21,144.63,0.36,13.13,36.47,9.09
Ada,44680,571.84,138.17,0.37,12.39,43.8,9.07
Ada,44681,584.76,130.41,0.38,12.26,43.53,8.64
Ada,44682,601.27,136.89,0.39,12.87,63,8.52
Ada,44683,604.49,158.41,0.38,13.41,104.08,8.98
Ada,44684,608.34,149.84,0.39,13.47,126.05,8.9
Ada,44685,611.05,159.1,0.38,13.74,107.2,9.02
Ada,44686,612.21,153.12,0.38,13.96,91.81,8.82
Ada,44687,631.96,150.16,0.39,14.51,61.71,8.48
Ada,44688,598.65,138.74,0.37,14.15,42.28,8.5
Ada,44689,549.2,108.7,0.35,12.91,43.62,8.12
Ada,44690,566.92,97.58,0.36,12.75,42.46,7.92
Ada,44691,556.87,108.33,0.36,12.99,69.92,8.06
Ada,44692,576.38,112.7,0.36,13.57,82.87,7.98
Ada,44693,597.06,121.97,0.37,14.2,85.33,7.98
Ada,44694,585.68,135.69,0.36,14.82,87.89,8.19
Ada,44695,600.57,147.12,0.36,15.47,119.74,8.33
Ada,44696,598.14,157.04,0.35,15.99,286.5,8.55
Ada,44697,615.56,164.36,0.36,16.67,268.58,8.63
Ada,44698,620.21,168.36,0.36,17.17,126.78,8.74
Ada,44699,648.1,140.85,0.37,17.21,46.72,8.5
Ada,44700,670.15,141.06,0.39,17.13,32.27,8.15
Ada,44701,676.45,137.6,0.39,16.89,16.85,8.1
Ada,44702,686.57,140.28,0.4,17.11,23.54,8.14
Ada,44703,680.2,156.74,0.39,17.7,15.97,8.44
Ada,44704,674.09,147.23,0.38,18.48,27.81,8.42
Ada,44705,684.42,152.13,0.38,19.1,11.47,8.44
Ada,44706,678.84,118.5,0.38,18.98,11.92,8.43
Ada,44707,695.87,124.82,0.39,18.95,4.99,8.53
Ada,44708,716,134.05,0.4,19.13,8.39,8.47
Ada,44709,712.11,112.34,0.39,19.24,37.64,8.35
