measurement,timestamp,sensors/Cond,sensors/DOpct,sensors/Sal,sensors/Temp,sensors/Turb,sensors/pH
Alan,8/11/2022,765.82,10.11,0.34,29.58,37.25,7.5
Alan,8/12/2022,922.12,3.45,0.45,25.67,21,6.71
Alan,8/13/2022,787.62,3.49,0.39,24.6,1.95,6.8
Alan,8/14/2022,834.13,31.15,0.41,24.29,3.03,6.98
Alan,8/15/2022,718.93,88.29,0.35,24.77,6.05,7.37
Alan,8/16/2022,723.04,100.68,0.36,24.54,17.21,7.47
Alan,8/17/2022,728.85,115.72,0.36,24.3,8.5,7.55
Alan,8/18/2022,716.93,134.38,0.36,23.48,17.33,7.78
Alan,8/19/2022,747.31,135.45,0.38,23.66,18.83,7.65
Alan,8/20/2022,768.93,117.11,0.38,23.89,13.15,7.46
Alan,8/21/2022,779.63,83.43,0.39,24.03,10.31,7.25
Alan,8/22/2022,795.11,61.21,0.39,24.38,10.78,7.14
Alan,8/23/2022,738.54,35.56,0.36,24.25,25.11,7.16
Alan,8/24/2022,767.35,27.66,0.38,24.57,34.19,7.19
Alan,8/25/2022,776.18,39.12,0.38,24.73,58.17,7.28
Alan,8/26/2022,773.37,38.56,0.38,24.7,39.68,7.19
Alan,8/27/2022,786.9,21.47,0.38,25.09,47.23,7.25
Alan,8/28/2022,805.11,29.93,0.39,25.48,52.39,7.25
Alan,8/29/2022,812.33,30.81,0.39,25.64,16.36,7.29
Alan,8/30/2022,815.84,56.83,0.39,26.09,10.65,7.4
Alan,8/31/2022,798.26,47,0.38,26.23,16.43,7.39
Alan,9/1/2022,801.86,51.37,0.39,25.35,17.22,7.39
Alan,9/2/2022,794.56,18.81,0.39,24.34,8.73,7.23
Alan,9/3/2022,793.66,12.49,0.4,23.74,16.79,7.25
Alan,9/4/2022,798.16,10.26,0.4,23.82,15.65,7.24
Alan,9/5/2022,804.65,4.31,0.4,24.23,17.63,7.2
Alan,9/6/2022,627.68,15.36,0.31,23.76,42.24,7.14
Alan,9/7/2022,675.33,7.07,0.34,22.87,53.12,7.15
Alan,9/8/2022,686.38,6.39,0.35,22.34,56.38,7.13
Alan,9/9/2022,692.75,7.92,0.36,22.03,115.84,7.12
Alan,9/10/2022,698.06,15.47,0.36,21.89,30.08,7.11
Alan,9/11/2022,717.12,18.62,0.37,22.19,17.49,7.07
Alan,9/12/2022,694.02,29,0.36,21.94,93.02,7.17
Alan,9/13/2022,598.69,36.57,0.31,22.08,27.3,7.08
Alan,9/14/2022,630.9,44.06,0.32,22.22,29.24,7.13
Alan,9/15/2022,687.77,60.28,0.35,22.33,34.06,7.26
Alan,9/16/2022,671.55,55.46,0.35,21.27,46.67,7.27
Alan,9/17/2022,680.59,50.31,0.36,21,53.28,7.23
Alan,9/18/2022,683.31,43.94,0.36,21.09,74.37,7.21
Alan,9/19/2022,703.03,48.89,0.37,21.8,110.97,7.21
Alan,9/20/2022,715.07,42.85,0.37,21.99,159.11,7.19
Alan,9/21/2022,707.33,50.33,0.37,21.81,180.68,7.25
Alan,9/22/2022,710.46,38.92,0.37,21.9,173.89,7.17
